,id,trialnb,blocknb,prepost,stim,response,rt,acc,correctResp
34,102,4,1,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/013tt.jpg,tijger,2650.0,1,"['luipaard', ' jaguar', ' jachtluipaard', 'leopard', ' puma', ' cheetah', ' tijger', ' panter']"
35,102,5,1,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/017tt.jpg,ananas,3268.0,1,"['ananas', 'bladeren', 'ananassen']"
36,102,6,1,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/006tt.jpg,kwal,2438.0,1,"['kwal', 'lichaam']"
37,102,7,1,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/533tt.jpg,vlinder,7193.0,1,"['vlinder', ' butterfly']"
38,102,8,1,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/655tt.jpg,ezels,2402.0,1,"['ezel', ' donkey', ' donkeys', ' ezels', ' ezel', ' paard', ' paarden']"
39,102,9,1,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/872tt.jpg,vlinder,2406.0,1,"['vlinder', ' butterfly']"
40,102,0,2,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/873tt.jpg,olifant,3117.0,1,"['olifant', ' olifantenkop']"
41,102,1,2,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/738tt.jpg,vlinder,5342.0,0,"['paprika', ' pepper', ' peper', ' paprika', ' red pepper', ' green pepper']"
42,102,2,2,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/792tt.jpg,ananas,2346.0,1,"['ananas', ' ananassen', ' ananasplant', ' plant', ' pineapple']"
43,102,3,2,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/593tt.jpg,tijger,8155.0,0,"['man', ' mens', ' persoon', ' human', ' vrouw', ' woman', ' women']"
44,102,4,2,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/608tt.jpg,aap,2106.0,0,"['vrouw', ' mens', ' man', ' persoon', ' mensen', ' human', ' woman', ' women', ' girl', ' lady', ' zittend']"
45,102,5,2,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/853tt.jpg,pinguin,7973.0,0,"['fluit', ' fluitje', ' flute', ' whistle', ' scheidsrechterfluitje']"
46,102,6,2,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/863tt.jpg,leeuw,10122.0,0,"['stoel', 'zitvlak']"
47,102,7,2,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/184tt.jpg,vogel,6643.0,0,"['vork', ' fork', ' vorken', ' forks']"
48,102,8,2,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/874tt.jpg,molen,12303.0,0,"['gasvuur', ' gaskookplaat', ' fornuis']"
49,102,9,2,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/595tt.jpg,vlinder,14278.0,0,"['walvis', ' whale', ' dolfijn', ' dolphin', ' orca', ' orka', 'walrus']"
50,102,0,2,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/874tt.jpg,man,7586.0,0,"['gasvuur', ' gaskookplaat', ' fornuis']"
51,102,1,2,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/738tt.jpg,paprika,2928.0,1,"['paprika', ' pepper', ' peper', ' paprika', ' red pepper', ' green pepper']"
52,102,2,2,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/792tt.jpg,ananas,2484.0,1,"['ananas', ' ananassen', ' ananasplant', ' plant', ' pineapple']"
53,102,3,2,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/853tt.jpg,orka,2674.0,0,"['fluit', ' fluitje', ' flute', ' whistle', ' scheidsrechterfluitje']"
54,102,4,2,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/608tt.jpg,vrouw,4599.0,1,"['vrouw', ' mens', ' man', ' persoon', ' mensen', ' human', ' woman', ' women', ' girl', ' lady', ' zittend']"
55,102,5,2,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/873tt.jpg,olifant,3214.0,1,"['olifant', ' olifantenkop']"
56,102,6,2,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/595tt.jpg,orka,1914.0,1,"['walvis', ' whale', ' dolfijn', ' dolphin', ' orca', ' orka', 'walrus']"
57,102,7,2,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/184tt.jpg,vork,2236.0,1,"['vork', ' fork', ' vorken', ' forks']"
58,102,8,2,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/593tt.jpg,vrouw,3699.0,1,"['man', ' mens', ' persoon', ' human', ' vrouw', ' woman', ' women']"
59,102,9,2,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/863tt.jpg,fluitje,10404.0,0,"['stoel', 'zitvlak']"
60,102,0,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/062tt.jpg,tijger,3277.0,0,"['hond', ' dog']"
61,102,1,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/623tt.jpg,man,2691.0,0,"['olifant', ' slurf', ' elephant']"
62,102,2,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/560tt.jpg,ei,4332.0,0,"['paddestoel', ' kikker', ' pad', ' toad', ' frog', ' mushroom', ' schimmel']"
63,102,3,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/001tt.jpg,stad,3551.0,0,"['motor', ' moto', ' motorfiets', ' brommer', ' bromfiets']"
64,102,4,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/273tt.jpg,poes,13596.0,0,"['hagedis', ' kikker', ' kameleon', ' leguaan', ' lizard', ' salamander', ' kameleonachtige']"
65,102,5,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/558tt.jpg,slang,2830.0,0,"['kikker', ' pad', ' toad', ' frog']"
66,102,6,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/729tt.jpg,uil,1783.0,1,"['uil', ' owl', ' vogel', ' bird', ' uilen', ' uiltjes']"
67,102,7,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/683tt.jpg,aap,2121.0,0,"['koala', ' koalabeertje', ' beertje']"
68,102,8,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/858tt.jpg,skater,2747.0,1,"['skier', 'skieen', ' skies', ' boom', ' snowboard', ' skier', ' skis', ' ski', ' skier']"
69,102,9,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/643tt.jpg,skateboard,6899.0,0,"['tas', ' boekentas', ' bag', ' aktetas', ' briefcase', ' schooltas', ' dokterstas']"
70,102,0,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/643tt.jpg,akketas,3949.0,1,"['tas', ' boekentas', ' bag', ' aktetas', ' briefcase', ' schooltas', ' dokterstas']"
71,102,1,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/001tt.jpg,brommer,3148.0,1,"['motor', ' moto', ' motorfiets', ' brommer', ' bromfiets']"
72,102,2,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/683tt.jpg,koala,2031.0,1,"['koala', ' koalabeertje', ' beertje']"
73,102,3,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/273tt.jpg,kameleon,3069.0,1,"['hagedis', ' kikker', ' kameleon', ' leguaan', ' lizard', ' salamander', ' kameleonachtige']"
74,102,4,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/858tt.jpg,skier,12313.0,1,"['skier', 'skieen', ' skies', ' boom', ' snowboard', ' skier', ' skis', ' ski', ' skier']"
75,102,5,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/623tt.jpg,kameleon,12873.0,0,"['olifant', ' slurf', ' elephant']"
76,102,6,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/560tt.jpg,kameleon,2638.0,0,"['paddestoel', ' kikker', ' pad', ' toad', ' frog', ' mushroom', ' schimmel']"
77,102,7,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/558tt.jpg,slang,3907.0,0,"['kikker', ' pad', ' toad', ' frog']"
78,102,8,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/729tt.jpg,uil,1650.0,1,"['uil', ' owl', ' vogel', ' bird', ' uilen', ' uiltjes']"
79,102,9,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/062tt.jpg,hond,1809.0,1,"['hond', ' dog']"
80,102,0,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/573tt.jpg,trein,2685.0,1,"['trein', ' train', ' locomotief', ' wagon', ' treinlocomotief']"
81,102,1,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/292tt.jpg,uil,2195.0,0,"['eekhoorn', ' squirrel']"
82,102,2,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/021tt.jpg,uil,2033.0,0,"['kat', ' poes', ' pussy', ' pussycat', ' cat']"
83,102,3,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/025tt.jpg,konijn,2237.0,1,"['konijn', ' konijntje ']"
84,102,4,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/039tt.jpg,vlinder,3904.0,0,"['bloem', ' flower', ' bloesem']"
85,102,5,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/721tt.jpg,koe,4222.0,0,"['sinaasappel', ' pompelmoes', 'orange', ' appelsien', ' citroen', ' lemon']"
86,102,6,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/823tt.jpg,koala,1950.0,1,"['koala', ' koalabeertje', ' beertje', ' panda', ' beer']"
87,102,7,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/003tt.jpg,slang,2117.0,1,"['slang', ' snake']"
88,102,8,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/576tt.jpg,platenspeler,7126.0,0,"['trompet', ' schuiftrompet', ' trumpet', ' trombone']"
89,102,9,4,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/812tt.jpg,egel,7919.0,0,"['kever', ' insect', ' beestje', ' wants', ' bug']"
90,102,0,4,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/573tt.jpg,trein,2443.0,1,"['trein', ' train', ' locomotief', ' wagon', ' treinlocomotief']"
91,102,1,4,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/039tt.jpg,vlinder,2821.0,0,"['bloem', ' flower', ' bloesem']"
92,102,2,4,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/292tt.jpg,vleermuis,6067.0,0,"['eekhoorn', ' squirrel']"
93,102,3,4,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/823tt.jpg,koala,1977.0,1,"['koala', ' koalabeertje', ' beertje', ' panda', ' beer']"
94,102,4,4,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/721tt.jpg,citroen,3023.0,1,"['sinaasappel', ' pompelmoes', 'orange', ' appelsien', ' citroen', ' lemon']"
95,102,5,4,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/812tt.jpg,spin,2602.0,0,"['kever', ' insect', ' beestje', ' wants', ' bug']"
96,102,6,4,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/576tt.jpg,trompet,3132.0,1,"['trompet', ' schuiftrompet', ' trumpet', ' trombone']"
97,102,7,4,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/025tt.jpg,konijn,2282.0,1,"['konijn', ' konijntje ']"
98,102,8,4,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/021tt.jpg,poes,1532.0,1,"['kat', ' poes', ' pussy', ' pussycat', ' cat']"
99,102,9,4,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/003tt.jpg,slang,1948.0,1,"['slang', ' snake']"
