id,trialnb,blocknb,prepost,stim,response,rt
102,7,2,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/184tt.jpg,vork,2236
102,8,2,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/593tt.jpg,vrouw,3699
102,9,2,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/863tt.jpg,fluitje,10404
102,0,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/062tt.jpg,tijger,3277
102,1,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/623tt.jpg,man,2691
102,2,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/560tt.jpg,ei,4332
102,3,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/001tt.jpg,stad,3551
102,4,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/273tt.jpg,poes,13596
102,5,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/558tt.jpg,slang,2830
102,6,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/729tt.jpg,uil,1783
102,7,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/683tt.jpg,aap,2121
102,8,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/858tt.jpg,skater,2747
102,9,3,pre,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/643tt.jpg,skateboard,6899
102,0,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/643tt.jpg,akketas,3949
102,1,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/001tt.jpg,brommer,3148
102,2,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/683tt.jpg,koala,2031
102,3,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/273tt.jpg,kameleon,3069
102,4,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/858tt.jpg,skier,12313
102,5,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/623tt.jpg,kameleon,12873
102,6,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/560tt.jpg,kameleon,2638
102,7,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/558tt.jpg,slang,3907
102,8,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/729tt.jpg,uil,1650
102,9,3,post,http://www.sandervandecruys.be/onlineExp/mooneyTD/img/tt/062tt.jpg,hond,1809
