id,sex,age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
20395,Vrouw,06/97,4,3,3,2,2,2,4,2,4,1,2,4,4,2,1,4,1,2,4,4,3,3,3,1,3,3,1,3,3,3,3,2,3,2,3,2,2,2,3,1,3,3,1,1,3,2,2,2,3,3
20959,Man,05/98,3,1,1,2,3,1,3,1,2,2,3,2,3,1,2,3,2,3,2,3,4,2,2,3,2,3,1,1,3,1,2,3,3,3,4,2,3,2,2,3,4,4,2,2,3,1,3,1,3,1
20959,Man,05/98,2,2,1,3,3,2,3,1,1,2,3,3,3,1,2,3,2,3,1,4,4,2,2,3,2,3,1,1,3,2,2,3,3,3,4,2,3,2,3,3,4,4,2,2,4,1,1,1,3,1
21088,Man,04/96,4,2,2,2,2,2,1,1,3,2,3,1,3,3,3,3,4,3,4,3,3,2,2,3,3,1,3,3,3,1,2,2,1,2,4,3,3,3,3,3,4,2,1,2,2,3,3,2,3,3
19756,Vrouw,10/96,4,2,1,1,1,1,4,1,3,2,3,1,1,1,2,2,3,4,4,4,4,1,1,4,2,2,2,4,2,4,2,2,2,3,4,2,2,3,3,2,2,4,3,3,3,2,3,2,1,2
20380,Vrouw,03/1988,3,2,1,1,4,4,4,1,4,2,2,2,3,2,2,2,3,2,4,4,4,2,4,2,3,2,2,3,1,3,2,2,4,3,4,2,3,3,3,2,4,4,1,2,3,2,3,2,1,2
20689,Vrouw,09/95,2,2,3,3,4,4,3,3,4,1,1,2,4,3,1,3,1,3,4,3,3,3,3,2,2,4,2,2,2,2,2,2,3,2,2,2,3,1,3,2,4,3,2,1,3,3,1,3,3,1
20497,Vrouw,04/97,2,2,2,3,3,4,4,1,4,4,3,1,3,3,2,3,2,3,4,4,4,2,2,2,2,2,2,4,2,3,2,2,1,2,2,3,3,2,1,1,3,3,2,1,3,3,2,3,2,2
20830,Vrouw,07/1997,3,3,3,3,4,1,1,3,1,3,3,3,1,3,4,3,4,3,1,1,1,3,3,4,3,4,1,3,3,1,2,1,4,1,4,1,2,1,3,1,4,2,1,1,4,4,1,1,4,3
20524,Vrouw,10/1997,2,2,2,3,2,3,3,3,4,2,2,2,4,4,2,3,1,3,4,3,1,3,3,2,3,3,3,2,2,3,2,2,2,2,3,2,3,2,3,2,3,3,2,2,3,3,2,2,2,2
20374,Vrouw,08/1997,2,4,1,4,1,4,4,1,4,1,1,1,4,2,1,4,1,2,4,4,3,4,4,1,1,4,1,2,2,3,1,1,4,1,4,1,1,1,4,1,4,4,2,1,4,4,1,2,3,1
20716,Vrouw,05/1997,2,2,1,2,1,3,4,1,4,2,2,1,3,2,1,2,1,2,4,4,3,3,2,2,4,3,2,3,1,3,1,2,2,1,2,1,3,1,2,2,3,4,2,1,4,3,2,3,1,2
20521,Vrouw,15/12/1997,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
21403,Vrouw,02/1997,2,2,1,4,3,3,4,1,4,2,2,3,4,3,1,3,1,3,4,4,2,4,3,2,2,3,3,3,2,2,3,2,4,1,3,2,2,1,3,1,3,1,2,1,2,3,1,2,3,1
20743,Vrouw,07/1997,2,3,3,3,3,3,2,3,2,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
