,Unnamed: 0,id,sex,age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,AQ,AQlikert,AQattDetail,AQsocialSkill,AQattSwitch,AQcomm,AQimagination
23,23,20227,Vrouw,10/90,3,2,1,2,1,1,4,1,1,3,2,1,1,1,3,2,2,3,1,3,4,3,1,3,2,2,2,2,1,3,1,2,3,2,1,1,1,2,4,2,1,3,2,2,2,2,1,2,1,2,20,117,31,22,25,20,19
24,24,20245,Vrouw,15/05/1997,2,2,1,3,4,4,2,1,4,1,2,3,4,3,1,3,1,3,4,3,3,2,4,2,3,2,3,2,2,3,2,2,3,2,3,4,4,2,3,1,3,2,2,1,3,4,2,2,2,1,13,100,16,21,23,22,18
25,25,20641,Vrouw,1997,2,3,2,2,4,4,4,1,4,2,1,2,4,1,1,2,1,2,4,3,3,4,3,2,2,4,3,3,2,3,3,3,3,1,3,2,3,1,3,2,3,3,3,1,2,3,1,3,1,2,13,95,18,17,23,19,18
26,26,20629,Vrouw,12/1997,2,2,2,3,4,4,3,3,4,2,3,3,4,3,3,2,2,3,4,3,3,3,3,2,4,3,2,3,3,3,2,2,3,2,3,2,3,2,2,1,4,2,1,2,3,1,1,2,2,2,16,111,19,21,29,21,21
27,27,21193,Vrouw,04/97,2,2,2,3,2,3,3,2,3,2,2,2,4,2,2,2,2,3,3,3,2,3,3,2,3,3,2,2,3,2,3,2,3,3,2,2,2,2,2,3,2,3,2,2,2,3,2,2,2,3,17,116,23,21,25,23,24
28,28,20887,Man,03/96,2,3,1,3,1,3,4,1,4,1,2,2,3,1,2,4,3,3,4,4,4,4,3,4,4,4,1,2,2,4,1,2,4,2,4,1,2,2,3,1,4,4,3,3,4,3,2,1,2,2,8,90,23,18,20,15,14
29,29,20902,Vrouw,04/1997,3,3,1,3,3,4,4,1,4,1,3,2,2,2,1,3,2,4,4,3,3,2,4,2,2,3,1,3,1,4,2,2,3,2,1,1,2,2,4,1,4,4,2,2,3,2,2,3,1,1,10,93,18,22,21,18,14
30,30,20362,Vrouw,10/1997,1,2,2,2,2,4,4,1,4,1,2,3,4,3,1,3,1,3,4,3,2,3,4,2,4,3,2,2,4,3,2,2,3,1,2,2,2,1,4,2,4,3,2,1,3,2,1,2,3,2,13,100,21,18,24,17,20
31,31,21367,Vrouw,06/97,3,2,1,2,2,2,4,1,3,1,1,1,1,1,1,2,2,3,2,4,4,4,1,2,2,4,1,3,3,3,2,2,3,1,3,2,1,1,4,2,4,3,2,2,3,4,2,2,2,1,13,97,30,19,20,15,13
32,32,20965,Vrouw,maart 1997,3,3,3,3,1,1,3,3,1,3,2,1,2,4,4,3,3,1,1,1,1,4,1,4,1,2,1,3,1,1,2,1,2,3,4,2,2,2,4,3,1,2,4,3,3,3,2,2,1,3,26,129,30,23,19,22,35
33,33,21034,Vrouw,07/94,2,1,2,4,2,2,4,2,4,3,3,3,4,3,2,3,1,4,4,3,3,3,2,2,3,3,3,3,3,4,1,2,3,2,3,2,3,1,4,2,4,2,2,1,3,2,2,3,3,3,20,110,26,21,26,15,22
34,34,20869,Vrouw,07/97,1,3,1,2,2,2,4,1,2,2,2,2,4,1,1,3,1,3,3,3,4,2,3,1,1,2,1,1,3,2,2,2,3,1,4,3,1,1,4,1,4,3,2,1,3,3,1,1,4,1,12,91,26,19,19,15,12
35,35,21079,Man,01/96,4,3,1,1,1,4,1,2,4,4,4,2,1,1,3,2,2,3,4,4,4,1,3,4,2,1,2,2,2,2,2,3,2,2,3,2,3,2,3,1,3,1,3,4,4,3,3,3,2,2,19,120,20,29,27,25,19
36,36,20809,Vrouw,22/12/1997,2,2,3,2,4,4,3,3,4,1,1,3,4,3,1,3,1,2,4,2,4,4,4,1,3,3,3,1,3,4,2,2,3,1,1,2,3,1,3,3,4,1,2,1,3,3,2,2,2,3,18,103,17,16,23,22,25
37,37,20266,Vrouw,01/1997,3,2,2,3,2,3,3,2,4,2,2,1,1,2,3,1,1,4,4,4,2,3,2,3,3,3,2,4,2,3,2,3,3,3,2,2,3,2,3,1,3,2,1,2,3,2,3,2,1,3,21,119,24,24,30,19,22
38,38,20947,Vrouw,07/97,2,2,2,3,2,3,3,1,3,1,1,2,3,2,1,2,1,2,4,3,2,3,3,2,1,4,1,3,3,4,2,1,3,1,3,2,1,1,2,1,4,2,2,1,2,4,1,2,4,1,15,98,27,18,17,18,18
39,39,20815,Vrouw,07/97,3,4,4,3,2,2,2,3,1,3,3,3,1,1,4,2,3,2,1,3,2,3,2,2,2,3,3,3,2,2,3,3,2,3,2,3,3,3,3,1,1,2,3,4,2,3,3,3,2,1,32,135,28,31,24,28,24
40,40,20494,Vrouw,03/97,2,3,2,3,2,2,2,2,2,1,1,3,4,4,1,3,1,3,3,3,4,3,4,1,4,3,2,1,2,3,2,2,3,1,3,3,3,2,3,2,3,2,3,1,3,4,1,2,4,2,12,102,24,17,20,20,21
41,41,20281,Vrouw,09/96,2,2,2,2,2,4,4,2,4,2,2,2,4,3,3,3,3,2,4,3,2,4,2,1,2,4,2,2,3,2,2,3,3,2,3,2,2,2,2,2,4,3,3,3,3,3,2,2,3,2,16,107,22,21,23,21,20
42,42,21211,Vrouw,10/97,4,1,1,2,1,2,2,1,3,3,3,1,2,1,1,1,2,1,3,4,4,1,1,4,1,2,2,2,3,3,2,1,3,2,3,2,2,3,1,1,2,4,1,3,3,2,2,2,3,1,24,122,30,23,27,27,15
43,43,20974,Vrouw,21/07/1997,1,4,4,2,2,4,3,1,4,2,2,2,3,1,1,3,1,3,4,4,4,3,4,2,2,3,1,2,1,3,1,3,2,1,4,3,1,2,4,1,4,3,2,1,4,2,1,1,1,1,11,87,17,18,21,16,15
44,44,20311,Vrouw,23/08/97,2,3,1,3,2,2,4,2,4,1,2,2,4,3,2,4,1,3,4,3,3,2,3,1,1,3,2,3,3,3,2,2,3,1,3,2,3,2,4,2,4,3,2,1,3,3,2,2,3,2,12,98,25,20,18,17,18
45,45,21040,Vrouw,06/1997,2,1,2,1,3,3,2,1,4,2,1,3,2,3,2,2,2,3,4,4,3,3,4,3,3,2,2,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,3,2,2,3,2,21,118,22,21,28,25,22
46,46,21046,Vrouw,18/97,3,3,2,4,4,3,2,3,3,3,3,4,2,2,4,2,3,3,3,2,2,3,4,2,2,2,3,1,3,4,3,2,3,3,1,3,2,3,2,3,1,2,3,4,2,3,3,1,2,3,27,126,19,28,22,29,28
47,47,21076,Man,05/96,3,2,2,4,1,3,4,1,4,2,4,3,4,3,3,4,2,3,4,3,4,1,3,2,1,2,1,1,2,3,1,2,3,2,4,1,2,3,4,3,4,4,3,2,3,3,4,2,3,2,12,99,21,25,18,17,18
48,48,20941,Vrouw,04/1997,4,1,2,2,1,1,3,2,4,2,2,1,4,2,1,1,1,3,4,4,3,3,2,1,3,2,2,2,2,4,2,4,4,3,2,1,4,2,2,3,4,3,2,2,3,2,2,3,2,2,19,116,27,17,33,21,18
49,49,21019,Vrouw,12/96,1,2,2,3,3,2,4,1,4,1,2,3,3,2,2,3,2,2,4,4,4,3,3,1,2,3,3,3,3,4,2,3,3,1,1,2,2,2,3,1,4,3,1,2,2,3,2,3,1,1,13,104,22,24,22,23,13
50,50,20659,Vrouw,10/97,3,2,1,3,2,1,3,1,3,2,3,2,4,3,2,3,2,3,3,4,4,2,3,1,2,3,3,3,4,3,2,2,4,2,4,3,2,3,4,1,4,3,2,2,3,3,3,3,2,1,16,106,28,24,22,19,13
51,51,20761,Vrouw,07/97,2,1,1,2,3,4,3,2,4,2,2,3,4,2,2,2,2,2,4,3,3,3,4,2,2,3,2,2,3,2,1,2,3,2,3,2,2,2,2,1,4,3,2,2,3,3,2,3,3,1,10,101,18,21,25,21,16
52,52,21373,Vrouw,12/1997,3,3,3,2,2,2,2,2,4,3,3,2,4,4,1,4,2,3,4,3,1,2,3,1,1,4,3,3,4,4,2,2,1,2,2,1,3,2,3,1,4,3,2,2,3,2,1,3,3,2,22,115,27,19,23,24,22
53,53,20821,Vrouw,04/97,2,3,1,1,3,4,2,1,4,1,1,2,3,2,1,2,1,1,4,3,4,4,3,2,3,4,2,1,1,1,2,4,2,1,1,2,4,1,2,1,4,3,4,1,1,3,1,3,2,1,14,97,15,19,25,24,14
54,54,20878,Vrouw,12/1997,3,2,1,1,2,4,4,4,3,1,3,2,2,3,1,3,2,4,4,3,3,3,4,1,2,1,2,3,1,3,2,2,1,3,4,3,3,4,4,1,4,1,2,3,2,2,3,3,4,2,24,117,22,26,26,22,21
55,55,21055,Vrouw,01/1997,2,1,1,2,1,2,4,2,4,4,3,2,3,2,2,3,3,3,4,2,3,2,3,2,3,3,2,3,2,3,2,1,3,2,4,3,3,2,3,2,4,3,2,2,2,2,2,3,2,2,20,116,24,26,28,19,19
56,56,20779,Vrouw,01/97,4,2,1,3,2,3,4,1,4,3,2,2,4,2,3,3,2,4,4,3,2,2,3,1,3,2,3,3,1,2,2,3,2,2,1,2,2,3,4,1,4,2,2,3,2,2,2,2,1,2,20,107,19,22,26,23,17
57,57,21616,Man,22/08/1997,2,4,1,4,2,2,4,1,4,2,1,1,4,2,2,4,1,4,4,4,4,4,2,4,1,3,3,4,2,2,2,2,4,1,3,2,2,1,4,1,4,4,4,1,4,4,1,2,2,1,8,82,25,15,13,15,14
58,58,20647,Vrouw,02/1997,1,1,1,2,3,3,4,1,2,2,1,2,4,3,2,2,1,2,3,3,4,4,4,2,4,4,2,3,2,3,2,3,3,1,3,1,2,1,3,2,3,3,1,1,3,4,1,3,4,3,16,105,25,17,27,17,19
59,59,20791,Vrouw,09/97,2,2,3,3,4,2,1,3,1,3,2,4,3,3,3,2,3,2,2,2,1,3,2,3,2,3,2,2,1,2,3,2,3,2,2,3,2,2,2,3,2,2,4,3,2,3,2,2,2,3,28,127,22,25,22,27,31
60,60,20398,Vrouw,05/97,2,2,4,3,1,4,4,4,4,2,2,1,3,2,2,3,2,2,4,2,3,2,4,2,2,3,3,3,2,3,3,2,2,2,2,2,3,2,3,2,4,2,2,2,2,2,2,3,3,2,22,120,23,24,24,24,25
61,61,20752,Vrouw,05/95,4,1,1,2,2,1,4,2,2,4,4,2,1,1,3,2,4,4,3,3,4,1,2,3,2,1,3,2,1,2,3,4,1,4,4,3,4,4,2,3,4,3,2,4,1,1,3,2,2,2,31,138,25,32,35,28,18
62,62,20257,Vrouw,06/1981,3,3,2,2,1,3,4,2,3,1,1,1,1,2,3,4,2,3,3,3,4,3,2,1,2,3,1,1,3,2,1,2,3,2,4,2,1,2,4,3,4,3,1,2,2,3,1,2,1,2,10,99,24,22,20,15,18
